site,lon,lat,url,label_direction
Chukchi Sea,-173.0639156,69.1974973,http://ambon-us.org,right
Florida Keys,-81.4658225,24.8756796,http://www.marinebon.org/florida-keys-sanctuary.html,left
Monterey Bay,-122.0843023,36.7898856,http://www.marinebon.org/monterey-bay-projects.html,right
Santa Barbara Channel,-119.9600393,34.2419366,http://sbc.marinebon.org,left
Flower Garden Banks,-93.8146526,27.8840507,http://www.marine.usf.edu/news/mbon-helps-to-understand-the-mortality-event-in-the-flower-garden-banks-national-marine-sanctuary/625-mbon-helps-to-understand-the-mortality-event-in-the-flower-garden-banks-national-marine-sanctuary,right
